dex_id	national_id	Pokemon	type1	type2	form_tag	hp	atk	def	spa	spd	spe	ability1	ability2	hidden_ability	evo_from	evo_method	evo_into	location	catch_rate	gender_ratio	egg_group1	egg_group2	description
1	722	Rowlet	Grass	Flying																			
2	723	Dartrix	Grass	Flying																			
3	724	Decidueye	Grass	Ghost																			
3	724	Hisuian Decidueye	Grass	Fighting																			
4	725	Litten	Fire																				
5	726	Torracat	Fire																				
6	727	Incineroar	Fire	Dark																			
7	728	Popplio	Water																				
8	729	Brionne	Water																				
9	730	Primarina	Water	Fairy																			
10	650	Chespin	Grass																				
11	651	Quilladin	Grass																				
12	652	Chesnaught	Grass	Fighting																			
12	652	Mega Chesnaught	Grass	Fighting																			
13	653	Fennekin	Fire																				
14	654	Braixen	Fire																				
15	655	Delphox	Fire	Psychic																			
15	655	Mega Delphox	Fire	Psychic																			
16	656	Froakie	Water																				
17	657	Frogadier	Water																				
18	658	Greninja	Water	Dark																			
18	658	Mega Greninja	Water	Dark																			
19	906	Sprigatito	Grass																				
20	907	Floragato	Grass																				
21	908	Meowscarada	Grass	Dark																			
22	909	Fuecoco	Fire																				
23	910	Crocalor	Fire																				
24	911	Skeledirge	Fire	Ghost																			
25	912	Quaxly	Water																				
26	913	Quaxwell	Water																				
27	914	Quaquaval	Water	Fighting																			
28	511	Pansage	Grass	Normal																			
29	512	Simisage	Grass	Normal																			
30	513	Pansear	Fire	Normal																			
31	514	Simisear	Fire	Normal																			
32	515	Panpour	Water	Normal																			
33	516	Simipour	Water	Normal																			
34	506	Lillipup	Normal																				
35	507	Herdier	Normal																				
36	508	Stoutland	Normal																				
37	731	Pikipek	Normal	Flying																			
38	732	Trumbeak	Normal	Flying																			
39	733	Toucannon	Normal	Flying																			
39	733	Mega Toucannon	Fire	Flying																			
40	580	Ducklett	Water	Flying																			
41	581	Swanna	Water	Flying																			
42	187	Hoppip	Grass	Flying																			
43	188	Skiploom	Grass	Flying																			
44	189	Jumpluff	Grass	Flying																			
45	290	Nincada	Bug	Ground																			
46	291	Ninjask	Bug	Dark																			
47	292	Shedinja	Bug	Ghost																			
48	736	Grubbin	Bug																				
49	737	Charjabug	Bug	Electric																			
50	738	Vikavolt	Bug	Electric																			
51	46	Paras	Bug	Grass																			
52	47	Parasect	Bug	Ghost																			
53	231	Phanpy	Ground																				
54	232	Donphan	Ground																				
55	872	Snom	Ice	Bug																			
56	873	Frosmoth	Ice	Bug																			
57	104	Cubone	Ground																				
58	105	Marowak	Ground																				
58	105	Alolan Marowak	Fire	Ghost																			
59	749	Mudbray	Ground																				
60	750	Mudsdale	Ground																				
61	179	Mareep	Electric																				
62	180	Flaaffy	Electric																				
63	181	Ampharos	Electric																				
63	181	Mega Ampharos	Electric	Dragon																			
64	840	Applin	Grass	Dragon																			
65	841	Flapple	Grass	Dragon																			
66	842	Appletun	Grass	Dragon																			
67	1011	Dipplin	Grass	Dragon																			
68	1019	Hydrapple	Grass	Dragon																			
69	742	Cutiefly	Bug	Fairy																			
70	743	Ribombee	Bug	Fairy																			
70	743	Mega Ribombee	Bug	Fairy																			
71	88	Grimer	Poison																				
71	88	Alolan Grimer	Poison	Dark																			
72	89	Muk	Poison																				
72	89	Alolan Muk	Poison	Dark																			
73	265	Wurmple	Bug																				
74	266	Silcoon	Bug																				
75	267	Beautifly	Bug	Flying																			
76	268	Cascoon	Bug																				
77	269	Dustox	Bug	Poison																			
78	357	Tropius	Grass	Flying																			
79	280	Ralts	Psychic	Fairy																			
80	281	Kirlia	Psychic	Fairy																			
81	282	Gardevoir	Psychic	Fairy																			
81	282	Mega Gardevoir	Psychic	Fairy																			
82	475	Gallade	Psychic	Fighting																			
82	475	Mega Gallade	Psychic	Fighting																			
83	133	Eevee	Normal																				
84	134	Vaporeon	Water																				
85	135	Jolteon	Electric																				
86	136	Flareon	Fire																				
87	196	Espeon	Psychic																				
88	197	Umbreon	Dark																				
89	470	Leafeon	Grass																				
90	471	Glaceon	Ice																				
91	700	Sylveon	Fairy																				
92	672	Skiddo	Grass																				
93	673	Gogoat	Grass	Ground																			
93	673	Mega Gogoat	Grass	Ground																			
94	198	Murkrow	Dark	Flying																			
95	430	Honchkrow	Dark	Flying																			
96	741	Oricorio Baile	Fire	Flying																			
96	741	Oricorio Pom-Pom	Electric	Flying																			
96	741	Oricorio Pa`u	Psychic	Flying																			
96	741	Oricorio Sensu	Ghost	Flying																			
97	27	Sandshrew	Ground																				
97	27	Alolan Sandshrew	Ice	Steel																			
98	28	Sandslash	Ground																				
98	28	Alolan Sandslash	Ice	Steel																			
99	551	Sandile	Ground	Dark																			
100	552	Krokorok	Ground	Dark																			
101	553	Krookodile	Ground	Dark																			
102	299	Nosepass	Rock																				
103	476	Probopass	Rock	Steel																			
104	303	Mawile	Steel	Fairy																			
104	303	Mega Mawile	Steel	Fairy																			
105	744	Rockruff	Rock																				
106	745	Lycanroc	Rock																				
106	745	Midnight Lycanroc	Rock	Dark																			
106	745	Dusk Lycanroc	Rock	Fighting																			
107	629	Vullaby	Dark	Flying																			
108	630	Mandibuzz	Dark	Flying																			
108	630	Mega Mandibuzz	Dark	Flying																			
109	527	Woobat	Psychic	Flying																			
110	528	Swoobat	Psychic	Flying																			
111	304	Aron	Steel	Rock																			
112	305	Lairon	Steel	Rock																			
113	306	Aggron	Steel	Rock																			
113	306	Mega Aggron	Steel																				
114	532	Timburr	Fighting																				
115	533	Gurdurr	Fighting																				
116	534	Conkeldurr	Fighting																				
117	950	Klawf	Rock																				
118	60	Poliwag	Water																				
119	61	Poliwhirl	Water																				
120	62	Poliwrath	Water	Fighting																			
121	186	Politoed	Water	Normal																			
122	710	Pumpkaboo	Ghost	Grass																			
123	711	Gourgeist	Ghost	Grass																			
124	285	Shroomish	Grass																				
125	286	Breloom	Grass	Fighting																			
126	214	Heracross	Bug	Fighting																			
126	214	Mega Heracross	Bug	Fighting																			
127	353	Shuppet	Ghost	Normal																			
128	354	Banette	Ghost	Normal																			
128	354	Mega Banette	Ghost	Dark																			
129	190	Aipom	Normal																				
130	424	Ambipom	Normal																				
131	761	Bounsweet	Grass																				
132	762	Steenee	Grass																				
133	763	Tsareena	Grass																				
134	194	Wooper	Water	Ground																			
134	194	Paldean Wooper	Poison	Ground																			
