dex_id	national_id	name	type1	type2	form_tag	hp	atk	def	spa	spd	spe	ability1	ability2	hidden_ability	evo_from	evo_method	evo_into	location	catch_rate	gender_ratio	egg_group1	egg_group2	description
1	1	Bulbasaur	Grass	Poison																			
2	2	Ivysaur	Grass	Poison																			
3	3	Venusaur	Grass	Poison																			
4	4	Charmander	Fire																				
5	5	Charmeleon	Fire																				
6	6	Charizard	Fire	Flying																			
7	7	Squirtle	Water																				
8	8	Wartortle	Water																				
9	9	Blastoise	Water																				
10	10	Caterpie	Bug																				
11	11	Metapod	Bug																				
12	12	Butterfree	Bug	Flying																			
13	13	Weedle	Bug	Poison																			
14	14	Kakuna	Bug	Poison																			
15	15	Beedrill	Bug	Poison																			
16	16	Pidgey	Normal	Flying																			
17	17	Pidgeotto	Normal	Flying																			
18	18	Pidgeot	Normal	Flying																			
19	19	Rattata	Normal																				
20	20	Raticate	Normal																				
21	21	Spearow	Normal	Flying																			
22	22	Fearow	Normal	Flying																			
23	23	Ekans	Poison																				
24	24	Arbok	Poison																				
25	25	Pikachu	Electric																				
26	26	Raichu	Electric																				
27	27	Sandshrew	Ground																				
28	28	Sandslash	Ground																				
29	29	Nidoran F	Poison																				
30	30	Nidorina	Poison																				
31	31	Nidoqueen	Poison	Ground																			
32	32	Nidoran M	Poison																				
33	33	Nidorino	Poison																				
34	34	Nidoking	Poison	Ground																			
35	35	Clefairy	Fairy																				
36	36	Clefable	Fairy																				
37	37	Vulpix	Fire																				
38	38	Ninetales	Fire																				
39	39	Jigglypuff	Normal	Fairy																			
40	40	Wigglytuff	Normal	Fairy																			
41	41	Zubat	Poison	Flying																			
42	42	Golbat	Poison	Flying																			
43	43	Oddish	Grass	Poison																			
44	44	Gloom	Grass	Poison																			
45	45	Vileplume	Grass	Poison																			
46	46	Paras	Bug	Grass																			
47	47	Parasect	Bug	Grass																			
48	48	Venonat	Bug	Poison																			
49	49	Venomoth	Bug	Poison																			
50	50	Diglett	Ground																				
51	51	Dugtrio	Ground																				
52	52	Meowth	Normal																				
53	53	Persian	Normal																				
54	54	Psyduck	Water																				
55	55	Golduck	Water																				
56	56	Mankey	Fighting																				
57	57	Primeape	Fighting																				
58	58	Growlithe	Fire																				
59	59	Arcanine	Fire																				
60	60	Poliwag	Water																				
61	61	Poliwhirl	Water																				
62	62	Poliwrath	Water	Fighting																			
63	63	Abra	Psychic																				
64	64	Kadabra	Psychic																				
65	65	Alakazam	Psychic																				
66	66	Machop	Fighting																				
67	67	Machoke	Fighting																				
68	68	Machamp	Fighting																				
69	69	Bellsprout	Grass	Poison																			
70	70	Weepinbell	Grass	Poison																			
71	71	Victreebel	Grass	Poison																			
72	72	Tentacool	Water	Poison																			
73	73	Tentacruel	Water	Poison																			
74	74	Geodude	Rock	Ground																			
75	75	Graveler	Rock	Ground																			
76	76	Golem	Rock	Ground																			
77	77	Ponyta	Fire																				
78	78	Rapidash	Fire																				
79	79	Slowpoke	Water	Psychic																			
80	80	Slowbro	Water	Psychic																			
81	81	Magnemite	Electric	Steel																			
82	82	Magneton	Electric	Steel																			
83	83	Farfetchd	Normal	Flying																			
84	84	Doduo	Normal	Flying																			
85	85	Dodrio	Normal	Flying																			
86	86	Seel	Water																				
87	87	Dewgong	Water	Ice																			
88	88	Grimer	Poison																				
89	89	Muk	Poison																				
90	90	Shellder	Water																				
91	91	Cloyster	Water	Ice																			
92	92	Gastly	Ghost	Poison																			
93	93	Haunter	Ghost	Poison																			
94	94	Gengar	Ghost	Poison																			
95	95	Onix	Rock	Ground																			
96	96	Drowzee	Psychic																				
97	97	Hypno	Psychic																				
98	98	Krabby	Water																				
99	99	Kingler	Water																				
100	100	Voltorb	Electric																				
101	101	Electrode	Electric																				
102	102	Exeggcute	Grass	Psychic																			
103	103	Exeggutor	Grass	Psychic																			
104	104	Cubone	Ground																				
105	105	Marowak	Ground																				
106	106	Hitmonlee	Fighting																				
107	107	Hitmonchan	Fighting																				
108	108	Lickitung	Normal																				
109	109	Koffing	Poison																				
110	110	Weezing	Poison																				
111	111	Rhyhorn	Ground	Rock																			
112	112	Rhydon	Ground	Rock																			
113	113	Chansey	Normal																				
114	114	Tangela	Grass																				
115	115	Kangaskhan	Normal																				
116	116	Horsea	Water																				
117	117	Seadra	Water																				
118	118	Goldeen	Water																				
119	119	Seaking	Water																				
120	120	Staryu	Water																				
121	121	Starmie	Water	Psychic																			
122	122	Mr Mime	Psychic	Fairy																			
123	123	Scyther	Bug	Flying																			
124	124	Jynx	Ice	Psychic																			
125	125	Electabuzz	Electric																				
126	126	Magmar	Fire																				
127	127	Pinsir	Bug																				
128	128	Tauros	Normal																				
129	129	Magikarp	Water																				
130	130	Gyarados	Water	Flying																			
131	131	Lapras	Water	Ice																			
132	132	Ditto	Normal																				
133	133	Eevee	Normal																				
134	134	Vaporeon	Water																				
135	135	Jolteon	Electric																				
136	136	Flareon	Fire																				
137	137	Porygon	Normal																				
138	138	Omanyte	Rock	Water																			
139	139	Omastar	Rock	Water																			
140	140	Kabuto	Rock	Water																			
141	141	Kabutops	Rock	Water																			
142	142	Aerodactyl	Rock	Flying																			
143	143	Snorlax	Normal																				
144	144	Articuno	Ice	Flying																			
145	145	Zapdos	Electric	Flying																			
146	146	Moltres	Fire	Flying																			
147	147	Dratini	Dragon																				
148	148	Dragonair	Dragon																				
149	149	Dragonite	Dragon	Flying																			
150	150	Mewtwo	Psychic																				
151	151	Mew	Psychic																				
152	152	Chikorita	Grass																				
