dex_id,national_id,name,type1,type2,form_tag,hp,atk,def,spa,spd,spe,ability1,ability2,hidden_ability,evo_from,evo_method,evo_into,location,catch_rate,gender_ratio,egg_group1,egg_group2,description
1,1,Bulbasaur,Grass,Poison,Starter,45,49,49,65,65,45,Overgrow,,Chlorophyll,,,Ivysaur,Pallet Town (Starter from Prof. Oak),45,M87.5/F12.5,Monster,Grass,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,2,Ivysaur,Grass,Poison,,60,62,63,80,80,60,Overgrow,,Chlorophyll,Bulbasaur,Lv. 16,Venusaur,Evolve Bulbasaur,45,M87.5/F12.5,Monster,Grass,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,3,Venusaur,Grass,Poison,,80,82,83,100,100,80,Overgrow,,Chlorophyll,Ivysaur,Lv. 32,,Evolve Ivysaur,45,M87.5/F12.5,Monster,Grass,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,4,Charmander,Fire,,Starter,39,52,43,60,50,65,Blaze,,Solar Power,,,Charmeleon,Pallet Town (Starter from Prof. Oak),45,M87.5/F12.5,Monster,Dragon,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,5,Charmeleon,Fire,,,58,64,58,80,65,80,Blaze,,Solar Power,Charmander,Lv. 16,Charizard,Evolve Charmander,45,M87.5/F12.5,Monster,Dragon,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,6,Charizard,Fire,Flying,,78,84,78,109,85,100,Blaze,,Solar Power,Charmeleon,Lv. 36,,Evolve Charmeleon,45,M87.5/F12.5,Monster,Dragon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,7,Squirtle,Water,,Starter,44,48,65,50,64,43,Torrent,,Rain Dish,,,Wartortle,Pallet Town (Starter from Prof. Oak),45,M87.5/F12.5,Monster,Water 1,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,8,Wartortle,Water,,,59,63,80,65,80,58,Torrent,,Rain Dish,Squirtle,Lv. 16,Blastoise,Evolve Squirtle,45,M87.5/F12.5,Monster,Water 1,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,9,Blastoise,Water,,,79,83,100,85,105,78,Torrent,,Rain Dish,Wartortle,Lv. 36,,Evolve Wartortle,45,M87.5/F12.5,Monster,Water 1,A brutal POKéMON with pressurized water jets on its shell. They are used for high-speed tackles.
10,10,Caterpie,Bug,,,45,30,35,20,20,45,Shield Dust,,Run Away,,,Metapod,Viridian Forest / Route 2,255,M50/F50,Bug,,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to eat foliage.
11,11,Metapod,Bug,,,50,20,55,25,25,30,Shed Skin,,,Caterpie,Lv. 7,Butterfree,Viridian Forest / Route 2,120,M50/F50,Bug,,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,12,Butterfree,Bug,Flying,,60,45,50,90,80,70,Compound Eyes,,Tinted Lens,Metapod,Lv. 10,,Evolve Metapod,45,M50/F50,Bug,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
13,13,Weedle,Bug,Poison,,40,35,30,20,20,50,Shield Dust,,Run Away,,,Kakuna,Viridian Forest / Route 2 (Blue only),255,M50/F50,Bug,,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,14,Kakuna,Bug,Poison,,45,25,50,25,25,35,Shed Skin,,,Weedle,Lv. 7,Beedrill,Viridian Forest / Route 2 (Blue only),120,M50/F50,Bug,,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from foes."
15,15,Beedrill,Bug,Poison,,65,90,40,45,80,75,Swarm,,Sniper,Kakuna,Lv. 10,,Evolve Kakuna,45,M50/F50,Bug,,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,16,Pidgey,Normal,Flying,,40,45,40,35,35,56,Keen Eye,Tangled Feet,Big Pecks,,,Pidgeotto,Routes 1 / 2 / 3 / 5 / 6 / 7 / 8,255,M50/F50,Flying,,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,17,Pidgeotto,Normal,Flying,,63,60,55,50,50,71,Keen Eye,Tangled Feet,Big Pecks,Pidgey,Lv. 18,Pidgeot,Routes 13–15 / 21,120,M50/F50,Flying,,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck any intruder."
18,18,Pidgeot,Normal,Flying,,83,80,75,70,70,101,Keen Eye,Tangled Feet,Big Pecks,Pidgeotto,Lv. 36,,Evolve Pidgeotto,45,M50/F50,Flying,,"This POKéMON flies at MACH 2 speed, seeking prey. Its large talons are feared as wicked weapons."
19,19,Rattata,Normal,,,30,56,35,25,35,72,Run Away,Guts,Hustle,,,Raticate,Routes 1–3 / 4 (Blue only),255,M50/F50,Field,,"Gnaws on anything with its fangs. If you see one, it is certain that 40 more live in the area."
20,20,Raticate,Normal,,,55,81,60,50,70,97,Run Away,Guts,Hustle,Rattata,Lv. 20,,Routes 16–18 / 21,90,M50/F50,Field,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for food."
21,21,Spearow,Normal,Flying,,40,60,30,31,31,70,Keen Eye,,Sniper,,,Fearow,Routes 3 / 4 / 9–12 / 16 / 17,255,M50/F50,Flying,,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,22,Fearow,Normal,Flying,,65,90,65,61,61,100,Keen Eye,,Sniper,Spearow,Lv. 20,,Routes 17–18 / 21,90,M50/F50,Flying,,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,23,Ekans,Poison,,,35,60,44,40,54,55,Intimidate,Shed Skin,Unnerve,,,Arbok,Routes 4 / 8 / 11 / 23 (Red only),255,M50/F50,Field,,"Moves silently and swiftly. Eats the eggs of birds, such as SPEAROW, whole."
24,24,Arbok,Poison,,,60,95,69,65,79,80,Intimidate,Shed Skin,Unnerve,Ekans,Lv. 22,,Routes 23 / Safari Zone (Red only),90,M50/F50,Field,,The frightening patterns on its belly have been studied. Six variations have been confirmed.
25,25,Pikachu,Electric,,,35,55,40,50,50,90,Static,,Lightning Rod,Pichu,High Friendship,Raichu,Viridian Forest / Power Plant,190,M50/F50,Field,Fairy,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,26,Raichu,Electric,,,60,90,55,90,80,110,Static,,Lightning Rod,Pikachu,Thunder Stone,,Evolve Pikachu,75,M50/F50,Field,Fairy,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,27,Sandshrew,Ground,,,50,75,85,20,30,40,Sand Veil,,Sand Rush,,,Sandslash,Routes 3 / 4 (Blue only) / Safari Zone,255,M50/F50,Field,,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,28,Sandslash,Ground,,,75,100,110,45,55,65,Sand Veil,,Sand Rush,Sandshrew,Lv. 22,,Routes 17 / 23 (Blue only),90,M50/F50,Field,,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,29,Nidoran♀,Poison,,,55,47,52,40,40,41,Poison Point,Rivalry,Hustle,,,Nidorina,Routes 2 / 9 / 22,235,F100,Monster,Field,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
